Block,Variety,nitro,yield
I,Victory,0,111
I,Victory,0.2,130
I,Victory,0.4,157
I,Victory,0.6,174
I,Golden Rain,0,117
I,Golden Rain,0.2,114
I,Golden Rain,0.4,161
I,Golden Rain,0.6,141
I,Marvellous,0,105
I,Marvellous,0.2,140
I,Marvellous,0.4,118
I,Marvellous,0.6,156
II,Victory,0,61
II,Victory,0.2,91
II,Victory,0.4,97
II,Victory,0.6,100
II,Golden Rain,0,70
II,Golden Rain,0.2,108
II,Golden Rain,0.4,126
II,Golden Rain,0.6,149
II,Marvellous,0,96
II,Marvellous,0.2,124
II,Marvellous,0.4,121
II,Marvellous,0.6,144
III,Victory,0,68
III,Victory,0.2,64
III,Victory,0.4,112
III,Victory,0.6,86
III,Golden Rain,0,60
III,Golden Rain,0.2,102
III,Golden Rain,0.4,89
III,Golden Rain,0.6,96
III,Marvellous,0,89
III,Marvellous,0.2,129
III,Marvellous,0.4,132
III,Marvellous,0.6,124
IV,Victory,0,74
IV,Victory,0.2,89
IV,Victory,0.4,81
IV,Victory,0.6,122
IV,Golden Rain,0,64
IV,Golden Rain,0.2,103
IV,Golden Rain,0.4,132
IV,Golden Rain,0.6,133
IV,Marvellous,0,70
IV,Marvellous,0.2,89
IV,Marvellous,0.4,104
IV,Marvellous,0.6,117
V,Victory,0,62
V,Victory,0.2,90
V,Victory,0.4,100
V,Victory,0.6,116
V,Golden Rain,0,80
V,Golden Rain,0.2,82
V,Golden Rain,0.4,94
V,Golden Rain,0.6,126
V,Marvellous,0,63
V,Marvellous,0.2,70
V,Marvellous,0.4,109
V,Marvellous,0.6,99
VI,Victory,0,53
VI,Victory,0.2,74
VI,Victory,0.4,118
VI,Victory,0.6,113
VI,Golden Rain,0,89
VI,Golden Rain,0.2,82
VI,Golden Rain,0.4,86
VI,Golden Rain,0.6,104
VI,Marvellous,0,97
VI,Marvellous,0.2,99
VI,Marvellous,0.4,119
VI,Marvellous,0.6,121
